爱不释手,àibùshìshǒu,can’t put it down
蓝领,lánlǐng,blue-collar worker
滥用,lànyòng,abuse / misuse
老吃,lǎochī,always eating / eat often
老掉牙了,lǎodiàoyále,hopelessly outdated
劳动法,láodòngfǎ,labor law
老革命,lǎogémìng,old revolutionary
老古板,lǎogǔbǎn,old-fashioned
老虎机,lǎohǔjī,slot machine
老狐狸,lǎohúli,old fox
老龄化,lǎolínghuà,aging population
老毛病犯,lǎomáobìngfàn,an old problem flares up
老牌,lǎopái,long-established / old brand
老婆饼,lǎopóbǐng,traditional pastry “wife cake”
捞钱,lāoqián,make money unscrupulously
老实交代问题,lǎoshíjiāodàiwèntí,confess honestly
老实说,lǎoshíshuō,honestly speaking
老天爷,lǎotiānyé,Heaven / God (colloquial)
蜡烛,làzhú,candle
累得够呛,lèidegòuqiàng,extremely tired
累积,lěijī,accumulate
冷嘲热讽,lěngcháorèfěng,sarcasm
冷血,lěngxuè,cold-blooded
联邦快递,liánbāngkuàidì,FedEx
量词,liàngcí,measure word
亮点,liàngdiǎn,highlight
两面性,liǎngmiànxìng,dual nature
两难,liǎngnán,dilemma
连任,liánrèn,be re-elected
连任,liánrèn,be re-elected
连锁餐饮,liánsuǒcānyǐn,chain restaurants
链条,liàntiáo,chain
练瑜伽,liànyújiā,practice yoga
辽阔土地,liáokuòtǔdì,vast land
聊聊份上,liáoliáofènshàng,for the sake of our relationship
利弊,lìbì,pros and cons
里程碑,lǐchéngbēi,milestone
立春,lìchūn,start of spring
力度,lìdù,intensity
罹患,líhuàn,suffer from (disease)
例假,lìjià,menstruation
礼节,lǐjié,etiquette / manners
立刻,lìkè,immediately
力量运动,lìliàngyùndòng,strength sport
历历在目,lìlìzàimù,vivid in one’s mind
罹难,línàn,die in a disaster
临床阶段,línchuángjiēduàn,clinical stage
灵光一闪,língguāngyīshǎn,a sudden inspiration / a bright idea
领红包,lǐnghóngbāo,receive a red envelope
另谋高就,lìngmóugāojiù,seek a better job elsewhere
领跑者,lǐngpǎozhě,front-runner
领取工资,lǐngqǔgōngzī,receive salary
领头,lǐngtóu,take the lead
另外,lìngwài,in addition
领养,lǐngyǎng,adopt
灵异,língyì,supernatural
另一端,lìngyīduān,the other end
历史的归路,lìshǐdeguīlù,the course of history (literal/literary)
理所当然,lǐsuǒdāngrán,take for granted
流言,liúyán,gossip
离我远点儿,líwǒyuǎndiǎnr,stay away from me
例行事务,lìxíngshìwù,routine affairs
漏税,lòushuì,tax omission
漏水,lòushuǐ,leaking water
乱,luàn,chaos
卵巢,luǎncháo,ovary
乱跑,luànpǎo,run around
乱七八糟,luànqībāzāo,in a mess
乱说,luànshuō,talk nonsense
乱写,luànxiě,write recklessly
卵子,luǎnzǐ,egg cell
录播,lùbō,recorded broadcast
路况,lùkuàng,road conditions
轮班制,lúnbānzhì,shift system
轮到你了,lúndàonǐle,it’s your turn
论点,lùndiǎn,argument / thesis
轮渡,lúndù,ferry
论坛,lùntán,forum
论战,lùnzhàn,debate war
落差,luòchā,gap / disparity
落地签证,luòdìqiānzhèng,visa on arrival
落后,luòhòu,lag behind / underdeveloped
逻辑,luójí,logic
落空,luòkōng,fall through
螺丝,luósī,screw
啰嗦,luōsuō,wordy / long-winded
落伍,luòwǔ,outdated / behind the times
裸钻,luǒzuàn,loose diamond
路途,lùtú,journey / route
露营,lùyíng,camping
炉子上,lúzishàng,on the stove
马鞍,mǎān,saddle
脉搏,màibó,pulse
卖关子,màiguānzi,keep people in suspense
卖命,màimìng,give one's life to work
买入的实际价格,mǎirùdeshíjìjiàgé,actual purchase price
马力,mǎlì,horsepower
马路杀手,mǎlùshāshǒu,dangerous driver
妈妈下令,māmaxiàlìng,mom gave an order
慢半拍,mànbànpāi,be a bit slow to react
忙碌,mánglù,busy
曼妙,mànmiào,graceful / charming (usually describing movement or figure)
矛头,máotóu,spearhead
猫头鹰,māotóuyīng,owl
毛熊,máoxióng,brown bear (nickname
毛衣,máoyī,sweater
贸易公司,màoyìgōngsī,trading company
麻雀,máquè,sparrow
骂人,màrén,insult
麻省理工,máshěnglǐgōng,MIT
马蹄声,mǎtíshēng,sound of horse hooves
马戏团,mǎxìtuán,circus
蚂蚁,mǎyǐ,ant
骂战,màzhàn,verbal fight / flame war
没必要,méibìyào,not necessary
每到,měidào,every time
美甲,měijiǎ,nail art
每克,měikè,per gram
没面子,méimiànzi,lose face
没骑两下,méiqíliǎngxià,not ridden for long
美容仪,měiróngyí,beauty device
美容仪,měiróngyí,beauty device
没文化真可怕,méiwénhuàzhēnkěpà,being uneducated is really scary
没戏,méixì,no hope
没有逻辑,méiyǒuluójí,illogical
懵懂,měngdǒng,ignorant
蒙混过关,ménghùnguòguān,muddle through
萌萌的动物,méngméngdedòngwù,cute animal
盟友,méngyǒu,ally
门槛,ménkǎn,threshold / entry requirement
门槛,ménkǎn,threshold
门票,ménpiào,admission ticket
门诊,ménzhěn,outpatient clinic
面包坊,miànbāofáng,bakery
棉毛裤,miánmáokù,thermal pants
棉毛衫,miánmáoshān,thermal top
免税店,miǎnshuìdiàn,duty-free shop
绵羊,miányáng,sheep (ewe)
妙,miào,wonderful / clever
描述,miáoshù,describe
灭火,mièhuǒ,fire extinguisher
蔑视的态度,mièshìdetàidù,contemptuous attitude
迷惑,míhuò,confused
命大,mìngdà,have a tough life
明媚,míngmèi,bright and beautiful
明媒正娶,míngméizhèngqǔ,formal/legal marriage
民工,míngōng,migrant worker
冥想,míngxiǎng,meditation
明星效应,míngxīngxiàoyìng,celebrity effect
名媛,míngyuán,socialite
命运,mìngyùn,fate / destiny
命运共同体,mìngyùngòngtóngtǐ,community of shared future
敏捷方法,mǐnjiéfāngfǎ,agile methodology
敏捷开发,mǐnjiékāifā,agile development
闽南话,Mǐnnánhuà,Minnan dialect (Hokkien)
民营,mínyíng,privately owned
摩登,módēng,modern
摸得着,mōdezháo,can touch / tangible
墨尔本,Mòěrběn,Melbourne
莫名其妙,mòmíngqímiào,baffling
摸清,mōqīng,figure out clearly
摸清,mōqīng,figure out clearly
磨损,mósǔn,wear and tear
磨损,mósǔn,wear and tear
谋略,móulüè,strategy / tactics
末尾,mòwěi,end / tail
目标人存,mùbiāoréncún,target audience (likely 目标人群)
牡丹,mǔdān,peony
母女,mǔnǚ,mother and daughter
模样,múyàng,appearance / look
拿掉,nádiào,remove / take off
拿冠军,náguànjūn,win the championship
奶爸,nǎibà,stay-at-home dad
耐力运动,nàilìyùndòng,endurance sport
难料,nánliào,unpredictable
难能可贵,nánnéngkěguì,rare and commendable
难以预料,nányǐyùliào,hard to predict
闹钟,nàozhōng,alarm clock
拿走,názǒu,take away
内功,nèigōng,internal strength
能文能武,néngwénnéngwǔ,good at both civil and martial
年龄层,niánlíngcéng,age group
年薪,niánxīn,yearly salary
年夜饭,niányèfàn,New Year’s Eve dinner
鸟巢,niǎocháo,bird’s nest / Beijing National Stadium
你扯远了,nǐchěyuǎnle,you went off topic
镊子,nièzi,tweezers
尼克,Níkè,Nick (name / transliteration)
拧紧,nǐngjǐn,tighten
拧开,nǐngkāi,unscrew
宁死不屈,nìngsǐbùqū,prefer death over surrender
牛车,niúchē,ox cart
牛顿,Niúdùn,Newton
纽扣,niǔkòu,button
扭曲,niǔqū,distort / twisted
弄错,nòngcuò,make a mistake
农药,nóngyào,pesticide
虐待,nüèdài,abuse / mistreat
诺基亚,Nuòjīyà,Nokia
女娲,Nǚwā,Nüwa (mythological goddess)
偶尔为之,ǒuěrwéizhī,do it occasionally
欧盟,Ōuméng,European Union
呕吐,ǒutù,vomit
偶像,ǒuxiàng,idol
欧债危机,ōuzhàiwēijī,European debt crisis
排比,páibǐ,parallelism (rhetoric)
排练,páiliàn,to rehearse
排卵,páiluǎn,ovulation
排起,páiqǐ,form a line
排长,páizhǎng,platoon leader
攀登,pāndēng,climb
跑车,pǎochē,sports car
泡沫,pàomò,bubble
抛弃,pāoqì,abandon
配件,pèijiàn,accessories / parts
培训班,péixùnbān,training course
培养的习惯,péiyǎngdexíguàn,cultivated habit
碰上你,pèngshàngnǐ,run into you
偏见,piānjiàn,prejudice
偏颇,piānpō,biased
偏深,piānshēn,rather deep
漂流,piāoliú,raft
皮带,pídài,belt
批发水果,pīfāshuǐguǒ,wholesale fruit
皮肤干,pífūgān,dry skin
皮肤是嫩,pífūshìnèn,skin is tender/soft
屁股,pìgu,buttocks
平衡机会,pínghéngjīhuì,balance opportunities
屏幕,píngmù,display (computer)
平台,píngtái,platform
评委,píngwěi,judge (in a contest)
品牌定位,pǐnpáidìngwèi,brand positioning
拼图,pīntú,jigsaw puzzle
破案,pòàn,solve a case
破坏,pòhuài,damage / destroy
魄力,pòlì,drive
普罗大众,pǔluódàzhòng,the general public
普知,pǔzhī,common knowledge
抢钱,qiǎngqián,profiteer / rip off
强人所难,qiǎngrénsuǒnán,force someone to do the impossible
枪伤,qiāngshāng,gunshot wound
潜力,qiánlì,potential
欠缺,qiànquē,lack
牵手,qiānshǒu,hold hands
前卫,qiánwèi,avant-garde
谦虚,qiānxū,modest
前沿科技,qiányánkējì,cutting-edge technology
前瞻思维,qiánzhānsīwéi,forward-looking thinking
前置作业,qiánzhìzuòyè,pre-task
瞧你说的,qiáonǐshuōde,listen to you (dismissive)
翘首期盼,qiáoshǒuqīpàn,look forward eagerly
乔装,qiáozhuāng,disguise
启迪,qǐdí,enlighten / inspire
企鹅,qǐé,penguin
气氛,qìfēn,atmosphere
欺负,qīfu,to bully
清单,qīngdān,list / checklist
情急之中,qíngjízhīzhōng,in an emergency
清热祛痰,qīngrèqūtán,clear heat and remove phlegm (TCM)
轻柔,qīngróu,soft / gentle
情书,qíngshū,love letter
清算,qīngsuàn,liquidate
擎天柱,qíngtiānzhù,Optimus Prime
青蛙王子,qīngwāwángzǐ,Frog Prince
清雅,qīngyǎ,elegant
清真寺,qīngzhēnsì,mosque
庆祝,qìngzhù,celebrate
亲民,qīnmín,close to the people / approachable
棋盘,qípán,game board
欺骗,qīpiàn,deceive
欺骗,qīpiàn,deceive
起色,qǐsè,improvement
歧视,qíshì,discrimination
乞讨,qǐtǎo,beg (for money)
秋裤,qiūkù,long underwear (bottoms)
秋衣,qiūyī,autumn clothes
旗帜,qízhì,banner / flag (symbol)
气质,qìzhì,temperament / aura
起重机,qǐzhòngjī,crane
棋子,qízǐ,game piece
劝,quàn,persuade
权力,quánlì,power / authority
权利,quánlì,rights
全力以赴,quánlìyǐfù,go all out
痊愈,quányù,fully recover / heal
全职,quánzhí,full-time job
去接,qùjiē,to pick up (someone)
去外人,qùwàirén,exclude outsiders
让人陶醉,ràngréntáozuì,mesmerizing
热得够呛,rèdegòuqiàng,extremely hot
热点题材,rèdiǎntícái,hot topic
人财两空,réncáiliǎngkōng,lose both money and people
认定,rèndìng,recognize / determine
仍,réng,still
人家都说,rénjiādōushuō,people all say
人际关系,rénjìguānxì,interpersonal relationships
人际网,rénjìwǎng,network of personal relationships
人力资源部,rénlìzīyuánbù,human resources department
人脉,rénmài,network
认命吧,rènmìngba,accept your fate
人如其名,rénrúqímíng,person lives up to their name
人生地不熟,rénshēngdìbùshú,new to a place
人事部,rénshìbù,HR
忍痛,rěntòng,endure pain
热情,rèqíng,enthusiastic
热衷于,rèzhōngyú,be keen on
日趋,rìqū,gradually
日益,rìyì,increasingly
融合一心,rónghéyīxīn,unite as one
容纳,róngnà,accommodate
容忍,róngrěn,tolerate
荣耀,róngyào,glory / honor
软件,ruǎnjiàn,software
软件架构,ruǎnjiànjiàgòu,software architecture
软体动物,ruǎntǐdòngwù,mollusk
入土,rùtǔ,be buried
如下,rúxià,as follows
儒雅,rúyǎ,gentle and refined
乳牙,rǔyá,milk teeth
赛博,sàibó,cyber (sci-fi style)
三姑六婆,sāngūliùpó,gossipy women
散架,sànjià,fall apart
三脚猫功夫,sānjiǎomāogōngfu,superficial skills
三头肌,sāntóujī,triceps
三文鱼,sānwényú,salmon
扫货,sǎohuò,buy in large quantities
扫描仪,sǎomiáoyí,scanner
扫墓,sǎomù,tomb-sweeping
傻白甜,shǎbáitián,naive and sweet (stereotypical innocent girl)
纱布,shābù,gauze
杀毒软件,shādúruǎnjiàn,antivirus software
晒黑,shàihēi,get tanned
山峰,shānfēng,mountain peak
上榜高峰,shàngbǎnggāofēng,peak ranking on a list
上岗,shànggǎng,start working (begin a job)
上火,shànghuǒ,get internal heat (TCM) / feel inflamed
上述,shàngshù,above-mentioned
伤亡人数,shāngwángrénshù,casualties / number of injured and dead
商业航天,shāngyèhángtiān,commercial aerospace
上有老 下又少,shàngyǒulǎoxiàyòushǎo,have elderly to support and children to raise
上涨,shàngzhǎng,rise
善良,shànliáng,kind-hearted
山寨,shānzhài,copycat / knockoff
烧东西,shāodōngxi,burn things
烧坏,shāohuài,burn out
烧烤,shāokǎo,barbecue
少量多餐,shǎoliàngduōcān,eat small frequent meals
少去压力,shǎoqùyālì,reduce stress
沙特,Shātè,Saudi Arabia
舍不得,shěbudé,can’t bear to
圣诞,shèngdàn,Christmas
生火,shēnghuǒ,to make a fire
生理器官,shēnglǐqìguān,biological organ
生命共同体,shēngmìnggòngtóngtǐ,community of life
生日宴会,shēngrìyànhuì,birthday banquet
神经病,shénjīngbìng,crazy
审美,shěnměi,aesthetic taste
神秘,shénmì,mysterious
审批,shěnpī,approve / examine and approve
审视,shěnshì,examine / scrutinize
甚嚣尘上,shènxiāochénshàng,be widely rumored
摄入,shèrù,intake
摄像头,shèxiàngtóu,camera (CCTV)
设掌柜,shèzhǎngguì,set up a shopkeeper / shop owner (context-specific)
事倍功半,shìbèigōngbàn,twice the effort for half the result
事不过三,shìbúguòsān,three strikes rule / don’t do it more than three times
市场部经理,shìchǎngbùjīnglǐ,marketing manager
市场动荡,shìchǎngdòngdàng,market turbulence
师范,shīfàn,teacher-training (college)
事发现场,shìfāxiànchǎng,crime scene
是福是祸,shìfúshìhuò,blessing or disaster
施工,shīgōng,construction
视频,shìpín,video
食谱,shípǔ,recipe
使其,shǐqí,make it
施压,shīyā,apply pressure
事业,shìyè,career
实用,shíyòng,practical
石油,shíyóu,oil / petroleum
失踪,shīzōng,go missing
收成,shōuchéng,harvest
手电筒,shǒudiàntǒng,flashlight
首付,shǒufù,down payment
首富,shǒufù,richest person
收购,shōugòu,acquire
受精卵,shòujīngluǎn,fertilized egg
受苦,shòukǔ,suffer
手捧花,shǒupěnghuā,bridal bouquet
售罄,shòuqìng,sold out
收入,shōurù,income
受伤,shòushāng,to get injured
瘦身,shòushēn,slimming / lose weight
手术,shǒushù,surgery
受委屈的,shòuwěiqūde,feeling wronged
手艺,shǒuyì,craftsmanship
手中,shǒuzhōng,in one’s hand
刷机,shuājī,flash a phone / reinstall firmware
双重标准,shuāngchóngbiāozhǔn,double standard
双眼皮,shuāngyǎnpí,double eyelid
刷墙,shuāqiáng,paint a wall
水坝,shuǐbà,dam
谁负谁胜,shuífùshuíshèng,who loses and who wins
水货,shuǐhuò,smuggled / grey-market goods
睡懒觉,shuìlǎnjiào,to sleep in
水龙头,shuǐlóngtóu,faucet
水母,shuǐmǔ,jellyfish
水泥,shuǐní,cement
水土不服,shuǐtǔbùfú,not acclimated / have trouble adapting to local conditions
书面,shūmiàn,written / in writing
枢纽,shūniǔ,hub / pivot
说不定,shuōbùdìng,maybe / might
说大话,shuōdàhuà,boast
疏运,shūyùn,transport and disperse
死板,sǐbǎn,rigid
似乎,sìhū,seemingly
似乎,sìhū,seem
四加二加一,sìjiāèrjiāyī,4-2-1 family structure
思维,sīwéi,way of thinking / thinking pattern
斯文男,sīwénnán,well-mannered man
思想指引,sīxiǎngzhǐyǐn,ideological guidance
算盘,suànpán,abacus / calculation
随笔,suíbǐ,essay / jotting
索取,suǒqǔ,demand
缩头乌龟,suōtóuwūguī,coward
缩影,suōyǐng,miniature / epitome
太白话,tàibáihuà,too plain
胎教,tāijiào,prenatal education
太计较,tàijìjiào,too calculative
胎盘,tāipán,placenta
泰山北斗,tàishānběidǒu,leading authority
抬头,táitóu,look up / raise one's head
坦白,tǎnbái,confess
摊贩,tānfàn,street vendor
谈判,tánpàn,negotiate
谈朋友,tánpéngyǒu,date someone
谈起,tánqǐ,bring up
探讨,tàntǎo,explore / discuss
探讨,tàntǎo,explore / probe into
探员,tànyuán,agent / investigator
淘宝,Táobǎo,Taobao
套房,tàofáng,suite (hotel/apt)
讨好,tǎohǎo,flatter / curry favor
讨价还价,tǎojiàhuánjià,bargain/haggle
套间,tàojiān,suite (room)
讨老婆,tǎolǎopó,get a wife (marry)
讨论,tǎolùn,to discuss
逃命,táomìng,flee for one's life
淘汰,táotài,eliminate
他一听就蒙了,tāyītīngjiùméngle,he was confused as soon as he heard it
特地,tèdì,specially / make a special effort
特工,tègōng,secret agent
特斯拉,Tèsīlā,Tesla
特征,tèzhēng,characteristic
天地,tiāndì,heaven and earth / world
天气的原因,tiānqìdeyuányīn,weather-related reason
天生,tiānshēng,innately
天下无敌,tiānxiàwúdí,invincible
田园,tiányuán,pastoral / countryside
天灾人祸,tiānzāirénhuò,natural and man-made disasters
条码,tiáomǎ,barcode
挑剔,tiāoti,be picky
挑剔,tiāoti,be picky
挑衅,tiǎoxìn,to provoke
挑战性,tiǎozhànxìng,challenging
题材,tícái,theme / subject matter
铁定,tiědìng,certain
贴对联,tiēduìlián,paste couplets
铁兄弟,tiěxiōngdì,best buddy
体罚,tǐfá,corporal punishment
替父亲报仇,tìfùqīnbàochóu,to avenge one’s father
体构,tǐgòu,body build / physique
剃光头,tìguāngtóu,shave head bald
体会,tǐhuì,experience / understand
题目,tímù,topic / question
听君一席话，胜读十年书,tīngjūnyīxíhuàshèngdúshíniánshū,one conversation with you is worth ten years of study
挺无奈,tǐngwúnài,quite helpless
听众朋友,tīngzhòngpéngyou,dear listeners
挺住,tǐngzhù,hang in there
体态,tǐtài,posture / body shape
题外话,tíwàihuà,digression / off-topic remark
提振,tízhèn,boost / stimulate
同步学习,tóngbùxuéxí,synchronous learning
童工,tónggōng,child labor
通货膨胀,tōnghuòpéngzhàng,inflation
通缉令,tōngjīlìng,wanted notice
同盟,tóngméng,alliance
通俗,tōngsú,popular / easy to understand
通俗易懂,tōngsúyìdǒng,easy to understand
通宵,tōngxiāo,overnight / all night long
通宵,tōngxiāo,stay up all night
通讯,tōngxùn,communication
同意书,tóngyìshū,consent form
头发都愁白了,tóufadōuchóubáile,so worried my hair turned white
偷懒,tōulǎn,slack off
投射原则,tóushèyuánzé,projection principle
偷税,tōushuì,tax evasion
头条,tóutiáo,headline
偷偷看,tōutōukàn,peek secretly
偷偷摸摸,tōutōumōmō,sneaky
头绪,tóuxù,clue / lead
头晕,tóuyūn,dizzy
团队成员,tuánduìchéngyuán,team member
团体,tuántǐ,group
土地公,tǔdìgōng,Tudi Gong (Earth God)
土地很少,tǔdìhěnshǎo,land is scarce
突发,tūfā,sudden / break out
涂防晒霜,túfángshàishuāng,apply sunscreen
推崇,tuīchóng,hold in high esteem
推动,tuīdòng,promote
推广,tuīguǎng,promote
退货,tuìhuò,return goods
推介,tuījiè,promote
退款,tuìkuǎn,refund
推诿,tuīwěi,shirk responsibility
推销,tuīxiāo,promote / sell
脱出,tuōchū,break free
脱单,tuōdān,stop being single
托儿,tuōér,plant
脱节,tuōjié,out of touch
脱口秀,tuōkǒuxiù,stand-up comedy
拖拉,tuōlā,drag on / procrastinate
拖拉,tuōlā,drag one’s feet
鸵鸟,tuóniǎo,ostrich
拖延症,tuōyánzhèng,procrastination
唾液,tuòyè,saliva
托运行李箱,tuōyùnxínglǐxiāng,checked suitcase
秃头,tūtóu,bald head
秃秃的头发,tūtūdetóufa,bald hair
T恤,Txù,T-shirt
外币,wàibì,foreign currency
歪理,wāilǐ,fallacious reasoning
外套,wàitào,coat / jacket
外围,wàiwéi,periphery / surrounding area
挖掘机,wājuéjī,excavator
挖掘客户,wājuékèhù,develop customers
玩而已吧,wánéryǐba,just for fun
往返套票,wǎngfǎntàopiào,round-trip package ticket
网红,wǎnghóng,internet celebrity
旺季,wàngjì,peak season
网络空间,wǎngluòkōngjiān,cyberspace
网络自媒体人,wǎngluòzìméitǐrén,online content creator / self-media influencer
往死里,wǎngsǐlǐ,to the extreme
网速,wǎngsù,internet speed
网页,wǎngyè,web page
弯路,wānlù,detour
弯弯曲曲,wānwānqūqū,winding
万一,wànyī,in case
玩意儿,wányìr,thingamajig / gadget (colloquial)
丸子,wánzi,meatball / small round food
未必,wèibì,not necessarily
微波炉,wēibōlú,microwave oven
维持生活,wéichíshēnghuó,to make a living / to sustain life
违法,wéifǎ,illegal
微服务架构,wēifúwùjiàgòu,microservices architecture
维护,wéihù,maintain
未婚,wèihūn,unmarried
围巾,wéijīn,scarf
危机驱力,wēijīqūlì,crisis-driven force
畏惧,wèijù,fear / dread
位居榜首,wèijūbǎngshǒu,rank first
围棋,wéiqí,Go (board game)
围起来,wéiqǐlái,surround / enclose
围绕,wéirào,revolve around / surround
尾随其后,wěisuíqíhòu,follow close behind
维他命,wéitāmìng,vitamin
微信公众号,wēixìngōngzhònghào,WeChat official account
微言大义,wēiyándàyì,subtle words with profound meaning
温和,wēnhé,gentle
文化冲突,wénhuàchōngtū,cultural conflict
文凭,wénpíng,diploma
纹身,wénshēn,tattoo
温馨,wēnxīn,warm and cozy
文章,wénzhāng,article
窝囊,wōnang,useless / pathetic
我算是见识,wǒsuànshìjiànshi,I’ve seen it all
武断,wǔduàn,arbitrary / dogmatic
无辜,wúgū,innocent
五官端正,wǔguānduānzhèng,good facial features / well-proportioned face
乌龟,wūguī,turtle
武警,wǔjǐng,armed police
无可奈何,wúkěnàihé,have no choice
无厘头,wúlítóu,nonsensical
雾霾,wùmái,smog
无奈之下,wúnàizhīxià,as a last resort
巫婆,wūpó,witch
污染,wūrǎn,pollution
无人便利店,wúrénbiànlìdiàn,unmanned convenience store
务实,wùshí,pragmatic
无私,wúsī,selfless
无所谓,wúsuǒwèi,does not matter
五线谱,wǔxiànpǔ,musical staff
无线上网,wúxiànshàngwǎng,wireless internet
无恙,wúyàng,safe and sound
物业,wùyè,property management
无志者,wúzhìzhě,one without ambition
五子棋,wǔzǐqí,Gomoku
下达了通知,xiàdáletōngzhī,issued a notice
吓了一跳,xiàleyītiào,give a fright / be startled
嫌犯,xiánfàn,suspect (criminal)
相处,xiāngchǔ,get along
相当得了解,xiāngdāngdeliǎojiě,understand quite well
想法,xiǎngfǎ,idea
香格里拉,xiānggélǐlā,Shangri-La
想家,xiǎngjiā,miss home
限购,xiàngòu,purchase restriction
象棋,xiàngqí,Chinese chess
想通,xiǎngtōng,come round
象征,xiàngzhēng,symbolize
陷进,xiànjìn,get trapped
陷阱,xiànjǐng,trap
险境,xiǎnjìng,dangerous situation
仙境,xiānjìng,fairyland
先决,xiānjué,prerequisite
陷入困境,xiànrùkùnjìng,fall into a difficult situation
现实,xiànshí,reality
先天疾病,xiāntiānjíbìng,congenital disease
闲置物品,xiánzhìwùpǐn,idle items
小瘪三,xiǎobiěsān,good-for-nothing punk
小不点儿,xiǎobùdiǎner,little one
消除,xiāochú,eliminate
消防演习,xiāofángyǎnxí,fire drill
消费主义,xiāofèizhǔyì,consumerism
小核桃,xiǎohétáo,small walnut
笑口常开,xiàokǒuchángkāi,smiling always
小喇叭,xiǎolǎba,small loudspeaker / small speaker
销量,xiāoliàng,sales volume
效率,xiàolǜ,efficiency
消遣,xiāoqiǎn,pastime/entertainment
小三,xiǎosān,mistress/“the other woman”
孝顺,xiàoshun,filial piety
小偷,xiǎotōu,thief
小众,xiǎozhòng,niche
吓人,xiàrén,scary
下水管,xiàshuǐguǎn,draining pipe
瞎说,xiāshuō,talk nonsense
吓死宝宝了,xiàsǐbǎobǎole,scared me to death (internet slang)
夏威夷,Xiàwēiyí,Hawaii
夏威夷果,Xiàwēiyíguǒ,macadamia nut
下药,xiàyào,drug someone
西班牙,Xībānyá,Spain
稀薄,xībó,thin / rarefied
血脚印,xiějiǎoyìn,bloody footprints
卸任,xièrèn,step down from office
谢天谢地,xiètiānxièdì,thank heavens
血腥,xiěxīng,bloody
洗个澡,xǐgèzǎo,to take a shower/bath
习惯心,xíguànxīn,habitual mindset
袭击,xíjī,attack
希腊人,Xīlàrén,Greek person
薪酬面议,xīnchóumiànyì,salary negotiable
星巴克,Xīngbākè,Starbucks
行程,xíngchéng,itinerary
性感,xìnggǎn,sexy
性价比,xìngjiàbǐ,value for money / cost-performance
醒目,xǐngmù,eye-catching / noticeable
性平,xìngpíng,gender equality (abbrev.)
杏仁,xìngrén,almond
行人地狱,xíngréndìyù,pedestrian hell
行为准则,xíngwéizhǔnzé,code of conduct
形象,xíngxiàng,image
形形色色,xíngxíngsèsè,of all kinds
幸运女神,xìngyùnnǚshén,goddess of luck
星座,xīngzuò,zodiac sign
细腻,xìnì,delicate
新能源,xīnnéngyuán,new energy
新奇特,xīnqítè,new
欣赏,xīnshǎng,appreciate
心跳,xīntiào,heartbeat
新闻媒体,xīnwénméitǐ,news media
欣欣,xīnxīn,thriving / prosperous (as in 欣欣向荣)
新颖,xīnyǐng,novel
凶手,xiōngshǒu,killer
稀缺,xīquē,scarce
吸收,xīshōu,absorb
系统架构,xìtǒngjiàgòu,system architecture
细小,xìxiǎo,tiny
膝下无儿女,xīxiàwúérnǚ,have no children
西雅图,Xīyǎtú,Seattle
洗衣机,xǐyījī,washing machine
吸引眼珠,xīyǐnyǎnzhū,catch attention
喧哗,xuānhuá,noise / clamor
选美,xuǎnměi,beauty contest
学姐,xuéjiě,senior female student
学历,xuélì,educational background
雪上加霜,xuěshàngjiāshuāng,make a bad situation worse
学业有成,xuéyèyǒuchéng,achieve success in studies
学长,xuézhǎng,senior male student
靴子,xuēzi,boots
续航,xùháng,battery life
循序渐进,xúnxùjiànjìn,step by step
许愿,xǔyuàn,make a wish
续约,xùyuē,renew a contract
压根儿,yāgēner,completely / at all
押金,yājīn,deposit
亚马孙,Yàmǎsūn,Amazon
养儿防老,yǎngérfánglǎo,raise children for old-age support
阳刚阴柔,yánggāngyīnróu,masculine and feminine traits
养活,yǎnghuó,support
羊毛衫,yángmáoshān,wool sweater
养生,yǎngshēng,health preservation
样样都有,yàngyàngdōuyǒu,have everything
眼镜蛇,yǎnjìngshé,cobra
严厉,yánlì,strict
淹没,yānmò,flood / submerge
验收,yànshōu,inspect and accept
验收工程,yànshōugōngchéng,inspection and acceptance of a project
研讨,yántǎo,seminar / discuss in depth
延误,yánwù,delay
艳羡,yànxiàn,envy
言行,yánxíng,words and actions
药酒,yàojiǔ,medicated wine
摇头丸,yáotóuwán,ecstasy (drug)
药丸,yàowán,pill
摇摇晃晃,yáoyáohuànghuàng,wobbly / shaky
咬一口,yǎoyìkǒu,take a bite
遥远,yáoyuǎn,distant
压迫感,yāpògǎn,feeling of oppression
业绩,yèjì,performance
夜猫子,yèmāozi,night owl
业务,yèwù,business / operations
也无不可,yěwúbùkě,that would also be fine
一步云天,yíbùyúntiān,soar in one leap (sudden success)
一大早,yídàzǎo,early in the morning
一发不可收拾,yīfābùkěshōushí,get out of control
一夫一妻,yīfūyīqī,monogamy
遗憾,yíhàn,regret
遗憾,yíhàn,regret
已婚,yǐhūn,married
宜家,Yíjiā,IKEA
一见钟情,yíjiànzhōngqíng,love at first sight
一刻钟,yīkèzhōng,15 minutes
忆苦思甜,yìkǔsītián,recall past hardships and cherish today
一来一晃,yīláiyīhuǎng,in the blink of an eye
伊朗,Yīlǎng,Iran
一劳永逸,yīláoyǒngyì,one effort for permanent gain
一亮相,yīliàngxiàng,make a debut
医疗,yīliáo,medical care
以没钱而没权,yǐméiqiánérméiquán,"because of having no money,one has no power"
一门语言,yīményǔyán,a language (as a subject)
移民,yímín,immigrate
一命呜呼,yīmìngwūhū,die
一亩三分地,yīmǔsānfēndì,a small piece of land
